name,code,market,par_value,total_shrs
동일고무벨트,163560,KOSPI,500,13900000
동일금속,109860,KOSDAQ,500,9100000
동일기연,032960,KOSDAQ,500,4118595
동일산업,004890,KOSPI,5000,2425215
동일스틸럭스,023790,KOSDAQ,500,21177909
동일제강,002690,KOSPI,500,20300360
동진쎄미켐,005290,KOSDAQ,500,51414494
동화기업,025900,KOSDAQ,200,50557285
동화약품,000020,KOSPI,1000,27931470
두산우,000155,KOSPI,5000,3996462
두산2우B,000157,KOSPI,5000,893038
두산로보틱스,454910,KOSPI,500,64819980
두산밥캣,241560,KOSPI,500,95856065
두산,000150,KOSPI,5000,16523835
두산에너빌리티,034020,KOSPI,5000,640561146
두산테스나,131970,KOSDAQ GLOBAL,500,19327238
두산퓨얼셀1우,33626K,KOSPI,100,13364200
두산퓨얼셀2우B,33626L,KOSPI,100,2986300
두산퓨얼셀,336260,KOSPI,100,65493726
두올,016740,KOSPI,2500,31304984
듀오백,073190,KOSDAQ,500,11968040
듀켐바이오,176750,KOSDAQ,500,28455220
드래곤플라이,030350,KOSDAQ,500,13877794
드림시큐리티,203650,KOSDAQ,100,50605754
드림씨아이에스,223250,KOSDAQ,500,23799324
드림어스컴퍼니,060570,KOSDAQ,500,75621573
드림인사이트,362990,KOSDAQ,100,16800574
드림텍,192650,KOSPI,100,68890041
디모아,016670,KOSDAQ,500,4941846
디바이스,187870,KOSDAQ,500,7036609
DB금융스팩12호,477760,KOSDAQ,100,5840000
디비금융제13호스팩,489730,KOSDAQ,100,6332000
디씨엠,024090,KOSPI,500,11400000
디아이,003160,KOSPI,500,28300000
디아이씨,092200,KOSPI,500,38888569
디아이티,110990,KOSDAQ,100,18900000
DRB동일,004840,KOSPI,500,19930000
디알젬,263690,KOSDAQ,500,11325610
디알텍,214680,KOSDAQ,100,74015254
디앤디파마텍,347850,KOSDAQ,500,10747301
디앤디플랫폼리츠,377190,KOSPI,1000,88400000
디앤씨미디어,263720,KOSDAQ,500,12524473
디어유,376300,KOSDAQ,500,23738406
DSC인베스트먼트,241520,KOSDAQ,500,27000000
디에스케이,109740,KOSDAQ,500,25710390
디에이치엑스컴퍼니,031860,KOSDAQ,500,17172021
DH오토넥스,000300,KOSPI,500,82129188
DH오토리드,290120,KOSDAQ,500,15515138
DH오토웨어,025440,KOSDAQ,500,48781224
디에이테크놀로지,196490,KOSDAQ,500,178549360
디에이피,066900,KOSDAQ,500,22744503
DXVX,180400,KOSDAQ,500,49219432
디엔에프,092070,KOSDAQ,500,11571858
DN오토모티브,007340,KOSPI,100,58510865
DMS,068790,KOSDAQ,500,23687123
디오,039840,KOSDAQ,500,14981755
디와이덕양,024900,KOSPI,500,32564980
디와이디,219550,KOSDAQ,500,125092953
디와이,013570,KOSPI,500,26319633
디와이씨,310870,KOSDAQ,100,20687271
